NO,DATE,PRICE (PHP per kg),MANUFACTURING PARTNER,COCONUT VARIETY,CLIMATE SEASON,HARVEST SEASON,QUANTITY SOLD
194,2/2/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,25.4
195,2/2/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,28.7
196,2/2/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,25.5
197,2/2/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,28.6
198,2/2/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,28.6
199,2/3/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,24.6
200,2/3/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,28.7
201,2/3/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,26.2
202,2/3/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,29.5
203,2/3/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,24.7
204,2/3/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,28.3
205,2/4/2017,,RGS,,DRY,,
206,2/4/2017,,LASWERTE,,DRY,,
207,2/4/2017,,BANGAYAN,,DRY,,
208,2/4/2017,,ASIACOM,,DRY,,
209,2/4/2017,,CARGILL,,DRY,,
210,2/4/2017,,PHIDCO,,DRY,,
211,2/5/2017,,RGS,,DRY,,
212,2/5/2017,,LASWERTE,,DRY,,
213,2/5/2017,,BANGAYAN,,DRY,,
214,2/5/2017,,ASIACOM,,DRY,,
215,2/5/2017,,CARGILL,,DRY,,
216,2/5/2017,,PHIDCO,,DRY,,
217,2/6/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,28.6
218,2/6/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,27.6
219,2/6/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,29.4
220,2/6/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,23.9
221,2/6/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,29.3
222,2/6/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,25.7
223,2/7/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,24.6
224,2/7/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,28.8
225,2/7/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,27.5
226,2/7/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,26.1
227,2/7/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,29.5
228,2/7/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,29.4
229,2/8/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,27.7
230,2/8/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,28.0
231,2/8/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,24.0
232,2/8/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,29.2
233,2/8/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,27.8
234,2/8/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,28.8
235,2/9/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,29.3
236,2/9/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,26.5
237,2/9/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,24.1
238,2/9/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,25.3
239,2/9/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,29.0
240,2/9/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,24.0
241,2/10/2017,PHP 46.56,RGS,PCA 15-1 (CATD x LAGT),DRY,,26.0
242,2/10/2017,PHP 46.56,LASWERTE,PCA 15-1 (CATD x LAGT),DRY,,28.2
243,2/10/2017,PHP 46.56,BANGAYAN,PCA 15-1 (CATD x LAGT),DRY,,26.4
244,2/10/2017,PHP 46.56,ASIACOM,PCA 15-1 (CATD x LAGT),DRY,,28.5
245,2/10/2017,PHP 46.56,CARGILL,PCA 15-1 (CATD x LAGT),DRY,,24.9
246,2/10/2017,PHP 48.44,PHIDCO,PCA 15-1 (CATD x LAGT),DRY,,25.7
247,2/11/2017,,RGS,,DRY,,
248,2/11/2017,,LASWERTE,,DRY,,
249,2/11/2017,,BANGAYAN,,DRY,,
250,2/11/2017,,ASIACOM,,DRY,,
